Id,time
0,3.202
1,3.202
2,3.202
3,3.202
4,3.202
5,3.202
6,3.202
7,3.202
8,3.202
9,3.202
10,3.202
11,3.202
12,3.202
13,3.202
14,3.202
15,3.202
16,3.202
17,3.202
18,3.202
19,3.202
20,3.202
21,3.202
22,3.202
23,3.202
24,3.202
25,3.202
26,3.202
27,3.202
28,3.202
29,3.202
30,3.202
31,3.202
32,3.202
33,3.202
34,3.202
35,3.202
36,3.202
37,3.202
38,3.202
39,3.202
40,3.202
41,3.202
42,3.202
43,3.202
44,3.202
45,3.202
46,3.202
47,3.202
48,3.202
49,3.202
50,3.202
51,3.202
52,3.202
53,3.202
54,3.202
55,3.202
56,3.202
57,3.202
58,3.202
59,3.202
60,3.202
61,3.202
62,3.202
63,3.202
64,3.202
65,3.202
66,3.202
67,3.202
68,3.202
69,3.202
70,3.202
71,3.202
72,3.202
73,3.202
74,3.202
75,3.202
76,3.202
77,3.202
78,3.202
79,3.202
80,3.202
81,3.202
82,3.202
83,3.202
84,3.202
85,3.202
86,3.202
87,3.202
88,3.202
89,3.202
90,3.202
91,3.202
92,3.202
93,3.202
94,3.202
95,3.202
96,3.202
97,3.202
98,3.202
99,3.202
